# مقارنة المعايير التقييمية (COMET, MQM, chrF++, BLEU) لكل فصل
book_id,book_title,segments_count,avg_comet,avg_mqm,avg_chrf,avg_bleu
1,العناصر: مقدمة قصيرة جدًّا,61,0.8453,99.46,49.87,17.9
2,تغطية الإسلام,40,0.7519,97.49,27.49,3.3
3,الفلسفة بنظرة علمية,16,0.8434,99.34,31.51,2.92
4,دروس مبسطة في علم الاقتصاد,39,0.833,97.88,44.61,13.15

# إحصائيات وتوزيع أنواع الأخطاء (MQM Error Distribution)
نوع الخطأ,التكرار (العدد),النسبة المئوية (%)
ترجمة صحيحة وسليمة (Accurate & Fluent),56,35.90%
حرفية زائدة وركاكة أسلوبية (Literalness / Awkward Phrasing),41,26.28%
نص غير مترجم (Untranslated),19,12.18%
مصطلح غير دقيق (Inappropriate Term),17,10.90%
ترجمة غير دقيقة / معنى مغاير (Mistranslation),16,10.26%
قواعد ونحو وتركيب (Grammar / Syntax),3,1.92%
إضافة غير مبررة (Addition),2,1.28%
حذف / سقط في المعنى (Omission),2,1.28%
